id,tw_member?,fb_member?,tw_follower?,fb_follower?
marcapruzzese,False,False,False,True
kastner,False,False,True,False
rburger,False,False,True,False
casper11,False,False,False,True
qlsc,False,False,False,True
michaltaberski,False,False,False,True
chilijung,False,False,True,True
aftabkhalid,False,False,True,False
Corpexin,False,False,True,True
abhishekdodda,False,False,True,False
minhazul-haque,False,False,True,False
aloosefish,False,False,False,True
AnandSundar,False,False,True,False
tenminutesofame,False,False,True,True
samnung,False,False,False,True
cjoshmartin,False,False,True,False
lvwang2002,False,False,False,True
wktzjz,False,False,False,True
lassebrenden,False,False,True,False
ajaswal,False,False,True,True
linmic,False,False,False,True
macbellingrath,False,False,False,True
lxst2,False,False,True,False
HolavaGuy,False,False,True,False
Antaranian,False,False,False,True
maktwin,False,False,False,True
Shahzebimtiaz,False,False,True,False
Nerdikon,False,False,True,False
vinod1988,False,False,True,True
songawee,False,False,False,True
jjorgemoura,False,False,False,True
datyayu,False,False,False,True
yanggengzhen,False,False,True,False
tedstrauss,False,False,False,True
robertocastro,False,False,False,True
yuejoo,False,False,True,False
scrivy,False,False,True,False
lordvalor,False,False,True,True
irqed,False,False,False,True
ewan15,False,False,True,False
athereu,False,False,False,True
ngbrown,False,False,False,True
rodrigomuniz,False,False,True,False
fredz0003,False,False,True,False
csuttles,False,False,True,True
lightcastercoldheart,False,False,True,False
obishop,False,False,False,True
asawq2006,False,False,True,True
syswow,False,False,False,True
tianhe,False,False,True,False
Yegorov,False,False,True,False
yordis,False,False,True,True
fko437,False,False,True,False
DLMR,False,False,False,True
qiaohaijun,False,False,True,True
jennyzhangeducation,False,False,True,False
kumario,False,False,True,False
chamingcola,False,False,False,True
safajirafa,False,False,True,False
isphins,False,False,False,True
wasabihu,False,False,False,True
goshen,False,False,True,False
tualatrix,False,False,False,True
k-ori,False,False,True,False
takis,False,False,False,True
hustnn,False,False,False,True
yxy,False,False,True,False
linnever,False,False,True,False
iSofTom,False,False,False,True
Lassi,False,False,False,True
zmughal,False,False,True,True
the-lay,False,False,False,True
ahmedasd123,False,False,True,False
goodtimecruz,False,False,True,False
blazzy,False,False,False,True
akhedrane,False,False,False,True
tmd45,False,False,True,False
farazfazli,False,False,True,True
rogeruiz,False,False,True,True
aizcheryz,False,False,False,True
rudazhan,False,False,False,True
myBella,False,False,True,False
aalzeitoun,False,False,True,False
yoshikinoko,False,False,True,False
danielrohers,False,False,False,True
rogergzou,False,False,True,True
AhmedSoliman,False,True,False,True
jerelmiller,False,False,False,True
vetriselvi,False,False,False,True
m7moud,False,False,False,True
evanniedojadlo,False,False,True,False
dylanpyle,False,False,True,False
ansonla3,False,False,False,True
HugoGiraudel,False,False,False,True
zeide,False,False,False,True
imton,False,False,True,True
kpath001,False,False,False,True
over,False,False,False,True
pascaloliv,False,False,True,False
rstacruz,False,False,False,True
PragTob,False,False,False,True
ev-tt,False,False,False,True
zhaimi,False,False,False,True
zunc,False,False,True,False
wuzhengyan2015,False,False,True,False
wilroboly,False,False,True,False
gabrielaneri,False,False,False,True
innovativedmm,False,False,True,False
tantaman,False,True,False,False
